name,value
solver_time,12.406245231628418
total_time,116.35425281524658
obj_value,15848.0
gap_to_opt,0.02978293791014639
total_cost,15848.0
cmd,RSP-CF
gap,0.05
time_limit,
gurobi_log,
gurobi_threads,
gurobi_mem,
input,../../pa-lukas-rose/results/1000x1000-15features-seed0-binary
output,../tests/brandt/congen/1000x1000-15features-seed0-binary/ec-bc-cf
metric,"['ec', 'bc']"
metric_prop,0.2
metric_target,
metric_min,
metric_min_type,
metric_max,
metric_max_type,
con_matrix,
con_edgelist,
feature_edgelist,['../../pa-lukas-rose/results/1000x1000-15features-seed0-binary/probability.csv']
pu_data,../../pa-lukas-rose/results/1000x1000-15features-seed0-binary/quality.csv
complete_graph,mean
