con_data,metric,total,min,max,min_threshold,max_threshold,target,total_metric,avg_per_pu
0,ec,30273769.808129687,7.9104580034637495,202950.0,7.9104580034637495,202950.0,0,9400883.555188045,3783.051732470038
1,ec,39541264.97532472,52.23314503384018,191406.0,52.23314503384018,191406.0,0,7990972.677084073,2731.0227877936
2,ec,47654654.15970509,51.89418005645639,217156.0,51.89418005645639,217156.0,0,6008419.895823346,4531.236723848678
3,ec,42303433.14138703,32.89793963756161,168920.0,32.89793963756161,168920.0,0,16049613.426485341,2491.7890741321753
4,ec,32319188.97765869,10.80939342433269,204303.0,10.80939342433269,204303.0,0,4603279.856378396,4649.777632705451
5,ec,35223947.30614028,44.346714773948094,177662.0,44.346714773948094,177662.0,0,7849636.601955894,2986.9241255539932
6,ec,10851390.322877226,90.71532646676388,173055.0,90.71532646676388,173055.0,0,7423227.553774827,6867.000512280136
7,ec,34771248.0935656,89.68622061820675,199809.0,89.68622061820675,199809.0,0,3411542.43191203,2297.334970984532
8,ec,29759116.600191765,21.175058705645416,149382.0,21.175058705645416,149382.0,0,7945372.784819172,1401.0532154503917
9,ec,36373863.76131211,13.131561010736721,190096.0,13.131561010736721,190096.0,0,12467454.081077848,1935.6395095602932
10,ec,48341950.10616332,7.7925433165553155,218089.0,7.7925433165553155,218089.0,0,6241507.9454862345,3410.660079500675
11,ec,40121528.995193325,5.543186443113664,220900.0,5.543186443113664,220900.0,0,13541645.275747273,2577.887926089334
12,ec,45830625.33077061,75.13241596752121,224676.0,75.13241596752121,224676.0,0,11735339.044614326,3287.2098164185786
13,ec,49106779.369005546,48.67160819572611,173472.0,48.67160819572611,173472.0,0,29244703.037360042,1718.2551725828462
14,ec,52657078.17949402,0.0572598334313868,202050.0,0.0572598334313868,202050.0,0,18161919.695555154,2460.6313095183787
