name,value
solver_time,1.996166706085205
total_time,54.23202848434448
obj_value,144.89622736458838
gap_to_opt,0.0
total_cost,25822.0
cmd,RSP-Con
gap,0.05
time_limit,
gurobi_log,
gurobi_threads,
gurobi_mem,
input,../../pa-lukas-rose/results/1000x1000-30features-seed0-binary
output,../tests/brandt/congen/10-1000x1000-30features-seed0-binary/bc-CON
metric,['bc']
max_cost,25822.0
min_cost,
metric_min,
metric_min_type,
metric_max,
metric_max_type,
con_matrix,
con_edgelist,
feature_edgelist,['../../pa-lukas-rose/results/1000x1000-30features-seed0-binary/probability.csv']
pu_data,
complete_graph,mean
